semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,MT1011,Giải tích 1,4,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,ME1001,Nhập môn Về Kỹ thuật,3,BẮT BUỘC,,True
1,LA1011,Pháp văn 1,2,BẮT BUỘC,,True
1,MT1015,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,ME2019,Môi trường và Con người,3,BẮT BUỘC,,True
2,MT1013,Giải tích 2,4,BẮT BUỘC,,True
2,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
2,LA1013,Pháp văn 2,2,BẮT BUỘC,,True
2,PH1009,Vật lý 1,4,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3,2,BẮT BUỘC,,True
3,MT2007,Giải tích 3,3,BẮT BUỘC,,True
3,LA1015,Pháp văn 3,2,BẮT BUỘC,,True
3,PH2007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
3,ME1021,Vật lý điện từ,4,BẮT BUỘC,,True
3,MT2009,Xác suất và Thống kê,4,BẮT BUỘC,,True
4,LA1009,Anh văn 4,2,BẮT BUỘC,,True
4,AS2071,Cơ học kỹ thuật,3,BẮT BUỘC,,True
4,LA1017,Pháp văn 4,2,BẮT BUỘC,,True
4,MT2011,Phương pháp tính,3,BẮT BUỘC,,True
4,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
4,EE2031,Điện - Giải tích mạch,3,BẮT BUỘC,,True
4,ME2119,Thực tập Công nhân,2,BẮT BUỘC,,True
5,EE2009,Hệ thống Máy tính và Ngôn ngữ Lập trình,3,BẮT BUỘC,,True
5,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
5,ME2003,Nguyên lý máy,3,BẮT BUỘC,,True
5,LA3021,Pháp văn 5,2,BẮT BUỘC,,True
5,ME2179,Hệ truyền động điện,3,BẮT BUỘC,,True
6,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
6,IM1021,Khởi nghiệp,3,BẮT BUỘC,,True
6,LA3023,Pháp văn 6,2,BẮT BUỘC,,True
6,CI2001,Sức bền Vật liệu,3,BẮT BUỘC,,True
6,ME2009,Kỹ thuật Điều khiển Tự động,3,BẮT BUỘC,,True
6,ME3009,Các Quá trình Chế tạo,3,BẮT BUỘC,,True
6,ME3385,Thực tập Ngoài trường,2,BẮT BUỘC,,True
7,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
7,ME2007,Chi tiết máy,3,BẮT BUỘC,,True
7,ME3011,Động lực học và Điều khiển,3,BẮT BUỘC,,True
7,ME2089,Vẽ kỹ thuật Cơ khí,4,BẮT BUỘC,,True
8,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
8,ME2117,Thí nghiệm Cơ học máy,1,BẮT BUỘC,,True
8,ME4127,Thiết kế Hệ thống Cơ điện tử,3,BẮT BUỘC,,True
8,ME3139,Đồ án Thiết kế,2,BẮT BUỘC,,True
8,ME4139,Vi điều khiển,3,BẮT BUỘC,,True
8,ME4385,Thực tập Kỹ sư,2,BẮT BUỘC,,True
9,ME3003,Dung sai và Kỹ thuật đo,3,BẮT BUỘC,,True
9,ME5005,Hệ thống PLC,3,BẮT BUỘC,,True
9,ME5003,Kỹ thuật Robot,3,BẮT BUỘC,,True
9,ME5001,Đồ án Chuyên ngành Cơ điện tử,2,BẮT BUỘC,,True
9,ME2013,Nhiệt động lực học và Truyền nhiệt,3,TỰ CHỌN NHÓM B,B,False
9,ME2131,Vật liệu cơ khí và công nghệ kim loại,0,TỰ CHỌN NHÓM B,B,False
9,ME4201,Nhập môn Thị giác Máy tính,3,TỰ CHỌN NHÓM B,B,False
9,ME4203,Nhập môn Điều khiển Hiện đại,3,TỰ CHỌN NHÓM B,B,False
9,ME4205,Tự động hóa Sản xuất,3,TỰ CHỌN NHÓM B,B,False
9,ME4207,Hệ thống Điều khiển mờ,3,TỰ CHỌN NHÓM B,B,False
9,ME4211,Hệ thống Thời gian thực,3,TỰ CHỌN NHÓM B,B,False
9,ME4215,Nhập môn Điều khiển Quá trình Công nghiệp,3,TỰ CHỌN NHÓM B,B,False
9,ME4217,Điều khiển Các hệ thống Servo,3,TỰ CHỌN NHÓM B,B,False
9,ME3187,Robot di động,3,TỰ CHỌN NHÓM B,B,False
9,ME4137,Động lực học và Điều khiển các Hệ thống Robot,3,TỰ CHỌN NHÓM B,B,False
9,ME3181,Trí tuệ Nhân tạo Ứng dụng,3,TỰ CHỌN NHÓM B,B,False
9,ME3805,Mô phỏng hệ thống robot,3,TỰ CHỌN NHÓM B,B,False
10,ME5017,Luận văn Tốt nghiệp,9,BẮT BUỘC,,True
10,ME3351,Kỹ thuật thủy lực và khí nén,4,BẮT BUỘC,,True
10,ME2013,Nhiệt động lực học và Truyền nhiệt,3,TỰ CHỌN NHÓM B,B,False
10,ME2131,Vật liệu cơ khí và công nghệ kim loại,0,TỰ CHỌN NHÓM B,B,False
10,ME4201,Nhập môn Thị giác Máy tính,3,TỰ CHỌN NHÓM B,B,False
10,ME4203,Nhập môn Điều khiển Hiện đại,3,TỰ CHỌN NHÓM B,B,False
10,ME4205,Tự động hóa Sản xuất,3,TỰ CHỌN NHÓM B,B,False
10,ME4207,Hệ thống Điều khiển mờ,3,TỰ CHỌN NHÓM B,B,False
10,ME4211,Hệ thống Thời gian thực,3,TỰ CHỌN NHÓM B,B,False
10,ME4215,Nhập môn Điều khiển Quá trình Công nghiệp,3,TỰ CHỌN NHÓM B,B,False
10,ME4217,Điều khiển Các hệ thống Servo,3,TỰ CHỌN NHÓM B,B,False
10,ME3187,Robot di động,3,TỰ CHỌN NHÓM B,B,False
10,ME4137,Động lực học và Điều khiển các Hệ thống Robot,3,TỰ CHỌN NHÓM B,B,False
10,ME3181,Trí tuệ Nhân tạo Ứng dụng,3,TỰ CHỌN NHÓM B,B,False
