semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,EE1025,Nhập môn Về kỹ Thuật,3,BẮT BUỘC,,True
1,MT1019,Giải tích 1 (CT Tiên tiến),4,BẮT BUỘC,,True
1,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,PH1011,Vật lý - Cơ Học,4,BẮT BUỘC,,True
1,EE2407,Nguyên lý Tự luận,3,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
2,MT1021,Giải tích 2 (CT Tiên tiến),4,BẮT BUỘC,,True
2,MT1023,Cơ sở Phương trình Vi phân,3,BẮT BUỘC,,True
2,PH1013,"Vật lý - Nhiệt, Lượng tử",3,BẮT BUỘC,,True
2,EE1029,Cơ sở Kỹ thuật Điện - Máy tính,4,BẮT BUỘC,,True
2,CH1015,Hóa đại cương,3,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
