semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,MT1005,Giải tích 2,4,BẮT BUỘC,,True
1,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
1,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
1,IU1011,Vật lý Kỹ thuật Bảo trì,4,BẮT BUỘC,,True
1,IU2031,Phương pháp số và Kỹ thuật lập trình,3,BẮT BUỘC,,True
1,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
1,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
1,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
1,IU1001,Nhập môn Về kỹ Thuật,3,BẮT BUỘC,,True
1,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,BẮT BUỘC,,True
1,ME1019,Quản lý năng suất và chất lượng,3,BẮT BUỘC,,True
1,IU4025,Chi phí Bảo trì,3,BẮT BUỘC,,True
1,IU4027,Bảo trì Năng suất Toàn diện,3,BẮT BUỘC,,True
1,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,0,BẮT BUỘC,,True
1,IU3105,An toàn và Môi trường trong Bảo trì,3,BẮT BUỘC,,True
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,LA1005,Anh văn 2,2,BẮT BUỘC,,True
1,LA1007,Anh văn 3,2,BẮT BUỘC,,True
1,LA1009,Anh văn 4,2,BẮT BUỘC,,True
1,IU1015,Vẽ Kỹ thuật Bảo trì,3,BẮT BUỘC,,True
1,CI2003,Cơ lưu chất,3,BẮT BUỘC,,True
1,ME2013,Nhiệt động lực học và Truyền nhiệt,3,BẮT BUỘC,,True
1,IU2035,Kỹ thuật Điện trong Bảo trì,3,BẮT BUỘC,,True
1,IU2001,Cơ học Vật liệu,3,BẮT BUỘC,,True
1,IU2043,Công nghệ Cơ khí 1,3,BẮT BUỘC,,True
1,IU3061,Công nghệ Cơ khí 2,3,BẮT BUỘC,,True
1,IU3115,Tổ chức Quản lý Bảo trì,3,BẮT BUỘC,,True
1,IU2011,Kỹ thuật Điện tử,3,BẮT BUỘC,,True
1,IU3017,Kỹ thuật số,3,BẮT BUỘC,,True
1,IU2039,Thực tập Cơ khí,2,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
1,IU3091,Kỹ thuật Bôi trơn Công nghiệp,3,Thể dục (Chọn 1),PE,False
1,IU3063,Công nghệ Khí nén,3,Thể dục (Chọn 1),PE,False
1,IU4015,Công nghệ Thủy lực,3,Thể dục (Chọn 1),PE,False
