semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
1,MT1005,Giải tích 2,4,BẮT BUỘC,,True
1,PH1005,Vật lý 2,4,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
1,CH2009,Hóa phân tích,3,BẮT BUỘC,,True
1,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
1,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
1,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
1,MA1001,Nhập môn Về Kỹ thuật,3,BẮT BUỘC,,True
1,IM1013,Kinh tế học Đại cương,3,TỰ CHỌN,,False
1,IM1027,Kinh tế Kỹ thuật,3,TỰ CHỌN,,False
1,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,TỰ CHỌN,,False
1,IM1021,Khởi nghiệp,3,TỰ CHỌN,,False
1,IM1025,Quản lý Dự án cho Kỹ sư,3,TỰ CHỌN,,False
1,IM1023,Quản lý Sản xuất cho Kỹ sư,3,TỰ CHỌN,,False
1,ME1019,Quản lý năng suất và chất lượng,3,TỰ CHỌN,,False
1,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,TỰ CHỌN,,False
1,MA4123,Phát triển Bền vững và Công nghệ Xử lý Môi trường,3,TỰ CHỌN,,False
1,LA1003,Anh văn 1,2,TỰ CHỌN,,False
1,LA1005,Anh văn 2,2,TỰ CHỌN,,False
1,LA1007,Anh văn 3,2,TỰ CHỌN,,False
1,LA1009,Anh văn 4,2,TỰ CHỌN,,False
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
