semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,CO1005,Nhập môn điện toán,3,BẮT BUỘC,,True
1,CO1023,Hệ thống số,3,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,MT1005,Giải tích 2,4,BẮT BUỘC,,True
2,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
2,CO1007,Cấu trúc rời rạc cho khoa học máy tính,4,BẮT BUỘC,,True
2,CO1027,Kỹ thuật lập trình,3,BẮT BUỘC,,True
2,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3,2,BẮT BUỘC,,True
3,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
3,CO2007,Kiến trúc máy tính,4,BẮT BUỘC,,True
3,CO2011,Mô hình hóa toán học,3,BẮT BUỘC,,True
3,CO2003,Cấu trúc dữ liệu và giải thuật,4,BẮT BUỘC,,True
4,LA1009,Anh văn 4,2,BẮT BUỘC,,True
4,SP1033,Kinh tế chính trị Mác - Lênin,2,BẮT BUỘC,,True
4,CO2017,Hệ điều hành,3,BẮT BUỘC,,True
4,CO2039,Lập trình nâng cao,3,BẮT BUỘC,,True
4,MT2013,Xác suất và thống kê,4,BẮT BUỘC,,True
5,SP1035,Chủ nghĩa xã hội khoa học,2,BẮT BUỘC,,True
5,CO3093,Mạng máy tính,3,BẮT BUỘC,,True
5,CO2013,Hệ cơ sở dữ liệu,4,BẮT BUỘC,,True
5,CO3001,Công nghệ phần mềm,3,BẮT BUỘC,,True
5,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
5,CO3101,Đồ án tổng hợp - hướng trí tuệ nhân tạo,1,TỰ CHỌN NHÓM A,A,False
5,CO3103,Đồ án tổng hợp - hướng công nghệ phần mềm,1,TỰ CHỌN NHÓM A,A,False
5,CO3105,Đồ án tổng hợp - hướng hệ thống thông tin,1,TỰ CHỌN NHÓM A,A,False
5,CO3127,Đồ án tổng hợp - hướng kỹ thuật dữ liệu,1,TỰ CHỌN NHÓM A,A,False
5,CO3119,Đồ án mạng máy tính,1,TỰ CHỌN NHÓM A,A,False
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
6,CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,3,BẮT BUỘC,,True
6,CO3005,Nguyên lý ngôn ngữ lập trình,4,BẮT BUỘC,,True
6,CO3335,Thực tập ngoài trường,2,BẮT BUỘC,,True
6,CO3107,Thực tập đồ án môn học đa ngành - hướng trí tuệ nhân tạo,1,TỰ CHỌN NHÓM B,B,False
6,CO3109,Thực tập đồ án môn học đa ngành - hướng công nghệ phần mềm,1,TỰ CHỌN NHÓM B,B,False
6,CO3111,Thực tập đồ án môn học đa ngành - hướng hệ thống thông tin,1,TỰ CHỌN NHÓM B,B,False
7,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
