semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,MT1005,Giải tích 2,4,BẮT BUỘC,,True
1,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,PH1005,Vật lý 2,4,BẮT BUỘC,,True
1,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,MT1009,Phương pháp tính,3,BẮT BUỘC,,True
1,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
1,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
1,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
1,AS1001,Nhập môn Về kỹ thuật,3,BẮT BUỘC,,True
1,EN1003,Con người và Môi trường,3,BẮT BUỘC,,True
1,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
1,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
1,LA1003,Anh văn 1,2,Thể dục (Chọn 1),PE,False
1,LA1005,Anh văn 2,2,Thể dục (Chọn 1),PE,False
1,LA1007,Anh văn 3,2,Thể dục (Chọn 1),PE,False
1,LA1009,Anh văn 4,2,Thể dục (Chọn 1),PE,False
1,CI1003,Vẽ kỹ thuật,3,Thể dục (Chọn 1),PE,False
1,AS1003,Cơ lý thuyết,3,Thể dục (Chọn 1),PE,False
1,AS2003,Kỹ thuật Lập trình Cơ Kỹ thuật,3,Thể dục (Chọn 1),PE,False
1,AS2013,CAD Ứng dụng,3,Thể dục (Chọn 1),PE,False
1,AS2011,Lý Thuyết Đàn hồi,3,Thể dục (Chọn 1),PE,False
1,AS2055,Cơ kỹ thuật đại cương,3,Thể dục (Chọn 1),PE,False
1,CI2003,Cơ lưu chất,3,Thể dục (Chọn 1),PE,False
1,ME2013,Nhiệt động lực học và Truyền nhiệt,3,Thể dục (Chọn 1),PE,False
1,AS3147,Cơ học Vật rắn Biến dạng,3,Thể dục (Chọn 1),PE,False
1,AS3061,Dao động Cơ sở,3,Thể dục (Chọn 1),PE,False
1,AS3169,Thiết kế kỹ thuật,3,Thể dục (Chọn 1),PE,False
1,AS3153,Thực tập cơ kỹ thuật,2,Thể dục (Chọn 1),PE,False
1,AS3015,Phương pháp Phần tử hữu hạn Cơ kỹ thuật,3,Thể dục (Chọn 1),PE,False
1,AS3171,Đồ án môn học - thiết kế kỹ thuật,2,Thể dục (Chọn 1),PE,False
1,AS3149,ứng dụng các phần mềm trong tính toán cơ học,3,Thể dục (Chọn 1),PE,False
1,AS3029,Lý thuyết dẻo Kỹ thuật,3,Thể dục (Chọn 1),PE,False
1,AS3097,Ứng xử Cơ học vật liệu,3,Thể dục (Chọn 1),PE,False
