semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,IM1017,Thống kê trong Kinh doanh,3,BẮT BUỘC,,True
1,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,MT1017,Giải tích trong Kinh doanh,3,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,MT1009,Phương pháp tính,3,BẮT BUỘC,,True
1,CH1017,Sinh học đại cương,3,BẮT BUỘC,,True
1,EN1015,Vi sinh Vật đại cương và Thí nghiệm,4,BẮT BUỘC,,True
1,GE1013,Khoa học Trái đất,4,BẮT BUỘC,,True
1,GE1011,Địa vật Lý đại Cương + Kiến tập,3,BẮT BUỘC,,True
1,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
1,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
1,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
1,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
1,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
1,IM1001,Giới thiệu ngành,3,BẮT BUỘC,,True
1,IM3051,Đạo đức Kinh doanh và Trách nhiệm Xã hội,3,BẮT BUỘC,,True
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,LA1005,Anh văn 2,2,BẮT BUỘC,,True
1,LA1007,Anh văn 3,2,BẮT BUỘC,,True
1,LA1009,Anh văn 4,2,BẮT BUỘC,,True
1,IM1003,Kinh tế học Vi mô,3,BẮT BUỘC,,True
1,IM1007,Quản trị Đại cương,3,BẮT BUỘC,,True
1,IM1009,Kinh tế học Vĩ mô,3,BẮT BUỘC,,True
1,IM1015,Kế toán Tài chính,3,BẮT BUỘC,,True
1,IM1019,Tiếp thị Căn bản,3,BẮT BUỘC,,True
1,IM1029,Hệ thống Sản xuất,3,BẮT BUỘC,,True
1,IM1033,Công nghệ số trong kinh doanh,3,BẮT BUỘC,,True
1,IM2017,Hành vi Tổ chức,3,BẮT BUỘC,,True
1,IM2019,Kế toán Quản trị,3,BẮT BUỘC,,True
1,IM2031,Quản lý Sản xuất,3,BẮT BUỘC,,True
1,IM2035,Phương pháp Định lượng,3,BẮT BUỘC,,True
1,IM2029,Thực tập Nhận Thức,2,BẮT BUỘC,,True
1,IM2033,Tài chính Doanh nghiệp,3,BẮT BUỘC,,True
1,IM3047,Giao tiếp trong Kinh doanh,3,BẮT BUỘC,,True
1,IM3059,Quản lý Chiến lược,3,BẮT BUỘC,,True
1,IM3063,Quản lý Chất lượng,3,BẮT BUỘC,,True
1,IM3107,Khởi nghiệp và đổi mới sáng tạo,3,BẮT BUỘC,,True
1,IM3087,Hệ thống Thông tin Quản lý,3,BẮT BUỘC,,True
1,IM3105,Phương pháp nghiên cứu trong kinh doanh,3,BẮT BUỘC,,True
1,IM3021,Quản lý Chuỗi cung ứng,3,TỰ CHỌN,,False
1,IM3073,Điều độ Sản xuất,3,TỰ CHỌN,,False
1,IM3055,Quản lý Nhân sự,3,TỰ CHỌN,,False
1,IM3077,Quản lý Sản xuất Theo Lean và Sáu Sigma,3,TỰ CHỌN,,False
1,IM3041,Hệ Hỗ trợ Quyết định và Trí tuệ Kinh doanh,3,TỰ CHỌN,,False
1,IM3085,Tài chính Quốc tế,3,TỰ CHỌN,,False
1,IM3081,Quản trị Kinh doanh Quốc tế,3,TỰ CHỌN,,False
1,IM3075,An toàn Công nghiệp và Quản lý Rủi ro,3,TỰ CHỌN,,False
1,IM3023,Thương mại Điện tử,3,TỰ CHỌN,,False
1,IM3033,Tiếp thị giữa các Tổ chức,3,TỰ CHỌN,,False
1,IM3097,Chuyển đổi Cung ứng Kỹ thuật số,3,TỰ CHỌN,,False
1,IM3091,Phân tích và Thiết kế Chuỗi cung ứng,3,TỰ CHỌN,,False
1,IM3099,Quản lý Chuỗi cung Ứng Theo Lean,3,TỰ CHỌN,,False
1,IM3095,Quản lý Vận hành Bán lẻ,3,TỰ CHỌN,,False
1,IM3029,Quản lý Công nghệ,3,TỰ CHỌN,,False
1,IM3093,Quản lý logistics và vận chuyển quốc tế,3,TỰ CHỌN,,False
1,IM3083,Hành vi Người tiêu dùng,3,TỰ CHỌN,,False
1,IM3089,Đổi mới sản phẩm/dịch vụ,3,TỰ CHỌN,,False
1,IM3109,Tiếp thị số,3,TỰ CHỌN,,False
1,IM3009,Hệ thống Tài chính,3,TỰ CHỌN,,False
1,IM3103,Quản lý rủi ro chuỗi cung ứng,3,TỰ CHỌN,,False
1,IM3101,Quản lý Cung ứng và Thu mua Quốc tế,3,TỰ CHỌN,,False
1,IM4007,Kế hoạch Kinh doanh,3,TỰ CHỌN,,False
1,IM4035,ISO 9000,3,TỰ CHỌN,,False
1,IM4003,Quản lý Dự án,3,TỰ CHỌN,,False
1,IM4019,Khoa học Dữ liệu trong Kinh doanh,3,TỰ CHỌN,,False
1,IM3035,Quản lý Bảo trì,3,TỰ CHỌN,,False
1,IM3111,Thị trường tài chính và Phát triển bền vững,3,TỰ CHỌN,,False
1,IM3325,Thực tập Ngoài trường,2,TỰ CHỌN TỰ DO,FREE,False
1,IM4033,Đồ án Chuyên ngành,2,TỰ CHỌN TỰ DO,FREE,False
1,IM4327,Khóa luận Tốt nghiệp,4,TỰ CHỌN TỰ DO,FREE,False
1,MI1003,Giáo dục Quốc phòng,0,TỰ CHỌN TỰ DO,FREE,False
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1023,"Võ (Vovinam, Karate, Taewondo) (Học phần 1)",0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
