semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
1,CI1065,Nhập môn Kiến trúc,3,BẮT BUỘC,,True
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,MT1005,Giải tích 2,4,BẮT BUỘC,,True
2,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
2,CI1069,Khoa học Trái đất,4,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,CI1067,Vẽ kỹ thuật Kiến trúc,3,BẮT BUỘC,,True
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3,2,BẮT BUỘC,,True
3,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
3,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
3,CI2111,Bố cục Tạo hình trong kiến trúc,3,BẮT BUỘC,,True
3,CI2097,Nguyên lý Thiết kế Kiến trúc Công trình Dân dụng,4,BẮT BUỘC,,True
3,CI2101,Đồ án Thiết kế Cơ sở Kiến trúc,2,BẮT BUỘC,,True
4,LA1009,Anh văn 4,2,BẮT BUỘC,,True
4,MT1009,Phương pháp tính,3,BẮT BUỘC,,True
4,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
4,CI2105,Thiết kế Kỹ thuật Kiến trúc Công trình Dân dụng,3,BẮT BUỘC,,True
4,CI2103,Nguyên lý Thiết kế Kiến trúc Công trình nhà ở,3,BẮT BUỘC,,True
4,CI2107,Thiết kế Kiến trúc 1 - Công trình Công cộng,3,BẮT BUỘC,,True
5,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
5,CI2099,Lịch sử Kiến trúc và Định Cư,3,BẮT BUỘC,,True
5,CI3273,Thiết kế Kiến trúc II - Công trình Chung cư,3,BẮT BUỘC,,True
5,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,TỰ CHỌN NHÓM A,A,False
5,ME1019,Quản lý năng suất và chất lượng,3,TỰ CHỌN NHÓM A,A,False
5,CI3289,Lãnh đạo và Khởi nghiệp,3,TỰ CHỌN NHÓM A,A,False
5,CI3291,Lãnh đạo và Quản Lý Dự án,3,TỰ CHỌN NHÓM A,A,False
5,CI3285,Nguyên lý Thiết kế Kiến trúc và Kỹ thuật Công trình Công nghiệ,0,TỰ CHỌN NHÓM A,A,False
5,CI3279,Thiết kế Kiến trúc III - Công trình Công nghiệp,3,TỰ CHỌN NHÓM A,A,False
5,CI3269,Sức bền Vật liệu,3,TỰ CHỌN NHÓM A,A,False
5,CI4177,Thiết kế IV - Công trình Phức hợp,4,TỰ CHỌN NHÓM A,A,False
5,CI3163,Phân tích Thiết kế Kết cấu,3,TỰ CHỌN NHÓM A,A,False
5,CI1065,Nhập môn Kiến trúc,3,TỰ CHỌN NHÓM A,A,False
5,CI1067,Vẽ kỹ thuật Kiến trúc,3,TỰ CHỌN NHÓM A,A,False
5,CI2097,Nguyên lý Thiết kế Kiến trúc Công trình Dân dụng,4,TỰ CHỌN NHÓM A,A,False
