semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,ME1001,Nhập môn Về Kỹ thuật,3,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,MT1005,Giải tích 2,4,BẮT BUỘC,,True
2,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
2,PH1005,Vật lý 2,4,BẮT BUỘC,,True
2,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
2,ME1003,Cơ khí Đại cương,3,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3,2,BẮT BUỘC,,True
3,MT1009,Phương pháp tính,3,BẮT BUỘC,,True
3,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
3,ME2103,Khoa học Vật liệu dệt,3,BẮT BUỘC,,True
3,ME2107,Thí nghiệm Kiểm tra phân tích Vật liệu dệt,2,BẮT BUỘC,,True
3,ME2059,Polymer dệt,3,BẮT BUỘC,,True
4,LA1009,Anh văn 4,2,BẮT BUỘC,,True
4,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
4,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
4,ME2101,Cơ học máy,3,BẮT BUỘC,,True
4,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,3,BẮT BUỘC,,True
4,ME3169,Thực tập Kỹ thuật Dệt,2,BẮT BUỘC,,True
5,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
5,ME3051,Công nghệ Dệt thoi,3,BẮT BUỘC,,True
5,ME3061,Hóa học Thuốc nhuộm,3,BẮT BUỘC,,True
5,ME3283,Công nghệ sợi 1,3,BẮT BUỘC,,True
5,ME2171,Công nghệ may mặc,3,BẮT BUỘC,,True
5,ME2169,Kiểm định và đánh giá chất lượng hàng dệt may,3,BẮT BUỘC,,True
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
6,ME3055,Công nghệ sợi 2,4,BẮT BUỘC,,True
6,ME3063,Công nghệ Dệt kim,3,BẮT BUỘC,,True
6,ME3081,Thiết bị Sợi dệt,3,BẮT BUỘC,,True
6,ME3131,Thực tập Ngoài trường,2,BẮT BUỘC,,True
6,IM1013,Kinh tế học Đại cương,3,TỰ CHỌN,,False
6,IM1023,Quản lý Sản xuất cho Kỹ sư,3,TỰ CHỌN,,False
6,IM1025,Quản lý Dự án cho Kỹ sư,3,TỰ CHỌN,,False
6,IM1027,Kinh tế Kỹ thuật,3,TỰ CHỌN,,False
6,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,TỰ CHỌN,,False
7,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
7,ME3171,Cấu trúc vải,4,BẮT BUỘC,,True
7,ME3047,Công nghệ không dệt,3,BẮT BUỘC,,True
7,ME4113,Đồ án 1,2,BẮT BUỘC,,True
7,ME3067,Công nghệ nhuộm Hoàn tất vải,3,BẮT BUỘC,,True
1,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
1,ME1017,Môi trường và phát triển bền vững trong dệt may,0,BẮT BUỘC,,True
1,ME4347,Đồ án Tốt nghiệp (Kỹ thuật Dệt),4,BẮT BUỘC,,True
