semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,ME1001,Nhập môn Về Kỹ thuật,3,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,MT1005,Giải tích 2,4,BẮT BUỘC,,True
2,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
2,PH1005,Vật lý 2,4,BẮT BUỘC,,True
2,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
2,ME1009,Quản lý Sản xuất,3,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3,2,BẮT BUỘC,,True
3,MT1009,Phương pháp tính,3,BẮT BUỘC,,True
3,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
3,CI1003,Vẽ kỹ thuật,3,BẮT BUỘC,,True
3,ME2051,Vận trù học,3,BẮT BUỘC,,True
3,ME2049,Ứng dụng Máy tính trong Công nghiệp,3,BẮT BUỘC,,True
4,LA1009,Anh văn 4,2,BẮT BUỘC,,True
4,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
4,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
4,ME2139,Thiết kế mặt bằng,3,BẮT BUỘC,,True
4,ME2177,Thiết kế công việc và Ergonomics,3,BẮT BUỘC,,True
4,ME2143,Thực tập đại cương,2,BẮT BUỘC,,True
5,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
5,ME2141,Kỹ thuật dự báo,3,BẮT BUỘC,,True
5,ME2319,Kỹ thuật và Quản lý Logistics,3,BẮT BUỘC,,True
5,ME2181,Quản lý Dự án trong Công nghiệp và Dịch vụ,3,BẮT BUỘC,,True
5,ME2045,Kinh tế Kỹ thuật,3,BẮT BUỘC,,True
5,ME2123,Kỹ thuật Hệ thống,3,BẮT BUỘC,,True
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
6,ME3161,Quản lý Vật tư và Tồn Kho,3,BẮT BUỘC,,True
6,ME2149,Kỹ thuật mô hình hóa và mô phỏng,3,BẮT BUỘC,,True
6,ME3127,Thực tập Ngoài trường,2,BẮT BUỘC,,True
7,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
7,ME4607,Phân tích và Thiết kế Hệ thống thông tin Quản lý,3,BẮT BUỘC,,True
7,ME3229,Kỹ thuật ra Quyết định,3,BẮT BUỘC,,True
7,ME4031,Kỹ thuật Điều độ (KT Hệ thống Công Nghiệp),3,BẮT BUỘC,,True
7,ME2147,Thực hành mô hình hóa và mô phỏng,2,BẮT BUỘC,,True
7,ME4101,Đồ án Thiết kế Hệ thống Công nghiệp,2,BẮT BUỘC,,True
8,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
8,ME4615,Sản xuất Tinh gọn,3,BẮT BUỘC,,True
8,ME3225,Kiểm soát và Quản lý chất lượng,3,BẮT BUỘC,,True
8,ME4367,Đồ án Tốt nghiệp (Kỹ thuật Hệ thống Công nghiệp),4,BẮT BUỘC,,True
