semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,MT1003,,4,BẮT BUỘC,,True
1,CH1003,Hóa đại cương General Chemistry,3,BẮT BUỘC,,True
1,CH1001,Nhập môn về kỹ thuật Introduction to Engineering,3,BẮT BUỘC,,True
1,PH1003,Vật lý 1 General Physics 1,4,BẮT BUỘC,,True
1,LA1003,,2,Thể dục (Chọn 1),PE,False
2,MT1005,,4,BẮT BUỘC,,True
2,PH1007,Thí nghiệm vật lý General Physics Labs,1,BẮT BUỘC,,True
2,CI1003,Vẽ kỹ thuật Engineering Drawing,3,BẮT BUỘC,,True
2,MT1007,Đại số tuyến tính Linear Algebra,3,BẮT BUỘC,,True
2,LA1005,Anh văn 2 English 2,2,BẮT BUỘC,,True
2,SP1007,Pháp luật Việt Nam Đại cương Introduction to VietNamese Law,2,BẮT BUỘC,,True
2,MI1003,,0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3 English 3,2,BẮT BUỘC,,True
3,CH2003,Hóa lý 1 Physical Chemistry 1,3,BẮT BUỘC,,True
3,CH2113,Hóa phân tích Analytical Chemistry,3,BẮT BUỘC,,True
3,CH2013,Hóa vô cơ (+TN) Inorganic Chemistry (+Lab),4,BẮT BUỘC,,True
3,SP1031,Triết học Mác - Lênin Marxist - Leninist Philosophy,3,BẮT BUỘC,,True
3,CH2021,Hóa hữu cơ Organic Chemistry,3,BẮT BUỘC,,True
4,LA1009,Anh văn 4 English 4,2,BẮT BUỘC,,True
4,CH2109,Hóa lý 2 Physical Chemistry 2,3,BẮT BUỘC,,True
4,CH2019,Quá trình và Thiết bị Cơ học Mechanical Processes And Equipments,3,BẮT BUỘC,,True
4,SP1033,Kinh tế Chính trị Mác - Lênin Marxist - Leninist Political Economy,2,BẮT BUỘC,,True
4,MT2013,Xác suất và Thống kê Probability and Statistics,4,BẮT BUỘC,,True
4,CH2155,Thí nghiệm Hóa phân tích Analytical Chemistry Laboratory,2,BẮT BUỘC,,True
5,SP1035,Chủ nghĩa Xã hội Khoa học Scientific Socialism,2,BẮT BUỘC,,True
5,CH2051,Quá trình và Thiết bị Truyền khối Mass Transfer Processes And Equipments,3,BẮT BUỘC,,True
5,CH2043,Quá trình và Thiết bị Truyền nhiệt Heat Transfer Processes And Equipments,3,BẮT BUỘC,,True
5,CH2041,Thí nghiệm Hóa lý Physical Chemistry Laboratory,2,BẮT BUỘC,,True
5,CH3329,Các Phương pháp Phân tích Hiện đại Advanced Analysis MeThods,3,BẮT BUỘC,,True
5,CH4147,,3,BẮT BUỘC,,True
5,CH3339,Cơ sở Hóa sinh và Vi sinh Principle Of Biochemistry And Microbiology,3,BẮT BUỘC,,True
5,CH3341,Cơ sở điều khiển quá trình Process Control Fundamentals,3,BẮT BUỘC,,True
5,CH4085,Hóa học và Công nghệ chất Hoạt động Bề mặt Surfactant Chemistry And Technology,3,BẮT BUỘC,,True
5,CH3425,Sinh hóa dược Pharmaceutical Biochemistry,3,BẮT BUỘC,,True
5,CH3427,"Sinh lý, miễn dịch học Physiology and Immumology",3,BẮT BUỘC,,True
5,CH3429,Công nghệ sản xuất mỹ phẩm Technology of cosmetic manufacturing,3,BẮT BUỘC,,True
5,CH3421,Cơ sở kỹ thuật mỹ phẩm Introduction to Cosmetic Engineering,3,BẮT BUỘC,,True
