semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,AS1001,Nhập môn Về kỹ thuật,3,BẮT BUỘC,,True
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,MT1005,Giải tích 2,4,BẮT BUỘC,,True
2,PH1005,Vật lý 2,4,BẮT BUỘC,,True
2,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
2,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
2,CI1003,Vẽ kỹ thuật,3,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3,2,BẮT BUỘC,,True
3,MT1009,Phương pháp tính,3,BẮT BUỘC,,True
3,AS2009,Cơ sở Cơ học Lượng tử - Vật lý chất rắn,3,BẮT BUỘC,,True
3,EE2011,Kỹ thuật Điện - Điện tử,3,BẮT BUỘC,,True
3,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
4,LA1009,Anh văn 4,2,BẮT BUỘC,,True
4,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
4,AS2001,Cơ học Ứng dụng,3,BẮT BUỘC,,True
4,CH2027,Sinh học Đại cương,3,BẮT BUỘC,,True
4,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
4,AS2033,Cảm biến và Kỹ thuật Đo lường,3,BẮT BUỘC,,True
5,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
5,CI2003,Cơ lưu chất,3,BẮT BUỘC,,True
5,PH2003,Tin học Vật lý Kỹ thuật,3,BẮT BUỘC,,True
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
6,AS3089,Thực tập Kỹ thuật,1,BẮT BUỘC,,True
6,AS2039,Cơ sở vật lý Hạt nhân và Ứng dụng,3,BẮT BUỘC,,True
6,AS2045,Đồ án Thiết kế cơ sở,1,BẮT BUỘC,,True
6,AS3345,Thực tập Ngoài trường,2,BẮT BUỘC,,True
6,IM1025,Quản lý Dự án cho Kỹ sư,3,BẮT BUỘC,,True
6,AS3025,Quang học Kỹ thuật và Ứng dụng,3,BẮT BUỘC,,True
7,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
7,EN1003,Con người và Môi trường,3,BẮT BUỘC,,True
7,AS4005,Đồ án Chuyên ngành,2,BẮT BUỘC,,True
7,AS3045,Ứng dụng Laser trong Y học,3,TỰ CHỌN,,False
7,AS3099,Các phần mềm Tính toán Mô phỏng trong Vật lý,3,TỰ CHỌN,,False
7,AS3047,Cơ sở Vật liệu Sinh học,3,TỰ CHỌN,,False
7,AS3101,Lập trình tính toán hiệu năng cao,3,TỰ CHỌN,,False
7,AS3075,Cơ sở về Laser và Ứng dụng,3,TỰ CHỌN,,False
7,AS3177,Giới thiệu ngôn ngữ lập trình Fortran,3,TỰ CHỌN,,False
7,AS3055,Xử lý hình ảnh Y sinh bằng Kỹ thuật số,3,TỰ CHỌN,,False
7,CO3061,Nhập môn Trí tuệ Nhân tạo,3,TỰ CHỌN,,False
7,AS3071,Trường điện từ,3,TỰ CHỌN,,False
7,AS3073,Vật lý thống kê,3,TỰ CHỌN,,False
7,AS3191,Cơ sở học máy,3,TỰ CHỌN,,False
7,AS3113,"Phân loại, Kiểm định và Quản lý Trang thiết bị Y tế",0,TỰ CHỌN,,False
7,AS3115,Ứng dụng Vi xử lý trong Kỹ thuật Y sinh,3,TỰ CHỌN,,False
7,AS3051,Cơ sở Tin học Y sinh,3,TỰ CHỌN,,False
7,AS3049,Cơ sinh học,3,TỰ CHỌN,,False
7,AS3063,ứng dụng Matlab trong vật lý tính toán,3,TỰ CHỌN,,False
7,AS3077,Cơ sở vật lý sợi quang học và ứng dụng,3,TỰ CHỌN,,False
7,AS3119,Cơ học tính toán,3,TỰ CHỌN,,False
7,AS3121,Y-sinh học tính toán,3,TỰ CHỌN,,False
7,AS3127,Công nghệ vật liệu đại cương,3,TỰ CHỌN,,False
7,AS3129,Các phương pháp tiệt trùng cho vật liệu y sinh,3,TỰ CHỌN,,False
7,AS3131,Cơ sở hóa học và vật liệu nano,3,TỰ CHỌN,,False
7,AS3087,Cơ sở vật lý y sinh,3,TỰ CHỌN,,False
7,AS3117,Mạng máy tính và an ninh mạng,3,TỰ CHỌN,,False
7,AS3123,Cơ học lượng tử nâng cao,3,TỰ CHỌN,,False
7,AS3133,Hệ thống Mạng và Nhả Thuốc,3,TỰ CHỌN,,False
7,AS3041,Xử lý Tín hiệu số,3,TỰ CHỌN,,False
7,AS3135,Vật liệu sinh học tổ hợp,3,TỰ CHỌN,,False
7,AS3137,Tĩnh học và động lực học cơ sinh,3,TỰ CHỌN,,False
7,AS3125,Cơ sở mô hình hóa phân tử,3,TỰ CHỌN,,False
7,AS3141,Mô hình và mô phỏng,3,TỰ CHỌN,,False
7,AS3139,Các phương pháp phân tích trong cơ sinh học,3,TỰ CHỌN,,False
7,AS3143,Cơ sinh học xương và khớp,3,TỰ CHỌN,,False
7,AS3145,Các chuyên đề chọn lọc cơ sinh học,3,TỰ CHỌN,,False
8,AS4347,Đồ án Tốt nghiệp,4,BẮT BUỘC,,True
8,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
8,SA4001,Hoạt động sinh viên,0,BẮT BUỘC,,True
