major,type,link
KHOA CƠ KHÍ,KHGD,https://drive.google.com/file/d/1OjLKM0Ys8oKiiiaw5SZoHC1ZBq4ewZJ-/view
KHOA CƠ KHÍ,KHGD,https://drive.google.com/file/d/1d_SC8SsEnD1vHEuKnQkJLMhsZ8UpH0T-/view
Kỹ thuật Cơ khí,KHGD,https://drive.google.com/file/d/12FB0w4I1y-x5ugbB7mWAfmVTCyX1TJik/view
"Công nghệ Dệt, May",KHGD,https://drive.google.com/file/d/1DFYXZEHZn_TkBFDVTL4P6METBKX5RaBv/view
Kỹ thuật Cơ điện tử,KHGD,https://drive.google.com/file/d/1ZR44Mxzs97EP86cs5dOaIaR_F3DmMxc0/view
Kỹ thuật Dệt,KHGD,https://drive.google.com/file/d/17vVqWK_xRP3k5TggP-fuagA2RReqI8LP/view
Kỹ thuật Nhiệt,KHGD,https://drive.google.com/file/d/140R1gHaB61369ZbQb0pshX6j-4Mbi7ij/view
KHOA KỸ THUẬT ĐỊA CHẤT VÀ DẦU KHÍ,KHGD,https://drive.google.com/file/d/1GZs1218BOS4JEiW_grvtuqrZHyETpPv4/view
KHOA KỸ THUẬT ĐỊA CHẤT VÀ DẦU KHÍ,KHGD,https://drive.google.com/file/d/1KPiNqnSnVUWyFi_1EnnMWMYrSeU4Y5nt/view
Kỹ thuật Dầu khí,KHGD,https://drive.google.com/file/d/1WJck5ZvRWTDeBXPwABrlbC91JqH_ZOoa/view
Địa Kỹ thuật Xây dựng,KHGD,https://drive.google.com/file/d/1bpWkmgAj-ALRDb5HfUFrWjUoVFjRDqAB/view
KHOA ĐIỆN - ĐIỆN TỬ,KHGD,https://drive.google.com/file/d/1_Xw-E7kWiywtT_QqNVaXUTbRJ3CPPHpl/view
KHOA ĐIỆN - ĐIỆN TỬ,KHGD,https://drive.google.com/file/d/1KP6S1arHzXJCkV7UpNsNNQLvqJP20dMQ/view
Kỹ thuật Điện tử - Viễn thông,KHGD,https://drive.google.com/file/d/1834mGPW4ADaiAzzD_-Q-q2VinnTOXHZh/view
Kỹ thuật Điện,KHGD,https://drive.google.com/file/d/1SLmXT32PvCHi_QhCTc_Nb4bsZ8ia9_nx/view
Thiết kế vi mạch,KHGD,https://drive.google.com/file/d/1ihj12y3dAl2tSbMppB2Iv3HjUgWP-AHf/view
Song ngành: Kỹ thuật Điện tử - Viễn thông - Kỹ thuật Điện,KHGD,https://drive.google.com/file/d/1IgjCE_Rqu8yXFWZ6VM89qJLlmpRqcg8y/view
Song ngành: Kỹ thuật Điện tử - Viễn thông - Kỹ thuật Điều khiển và Tự động hóa,KHGD,https://drive.google.com/file/d/1UaJa5jYq1spe9fwEoCImN2cgTHypliqG/view
Song ngành: Kỹ thuật Điện - Kỹ thuật Điện tử - Viễn thông,KHGD,https://drive.google.com/file/d/1ReK3bTxygkXOW3qPD9kud8hEh3BIfWh6/view
Song ngành: Kỹ thuật Điện - Kỹ thuật Điều khiển và Tự động hóa,KHGD,https://drive.google.com/file/d/13rYW4q39LEQuBYvCM6X_a7JrT_HUf1V2/view
